"Text","Title","Chapter"
"more than thirty, but looking twenty years older than he was, stout,","A Tale of Two Cities",10
"loud, red, bluff, and free from any drawback of delicacy, had a pushing","A Tale of Two Cities",10
"way of shouldering himself (morally and physically) into companies and","A Tale of Two Cities",10
"conversations, that argued well for his shouldering his way up in life.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"He still had his wig and gown on, and he said, squaring himself at his","A Tale of Two Cities",10
"late client to that degree that he squeezed the innocent Mr. Lorry clean","A Tale of Two Cities",10
"out of the group: “I am glad to have brought you off with honour, Mr.","A Tale of Two Cities",10
"Darnay. It was an infamous prosecution, grossly infamous; but not the","A Tale of Two Cities",10
"less likely to succeed on that account.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“You have laid me under an obligation to you for life--in two senses,”","A Tale of Two Cities",10
" said his late client, taking his hand.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I have done my best for you, Mr. Darnay; and my best is as good as","A Tale of Two Cities",10
"another man’s, I believe.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"It clearly being incumbent on some one to say, “Much better,” Mr. Lorry","A Tale of Two Cities",10
"said it; perhaps not quite disinterestedly, but with the interested","A Tale of Two Cities",10
"object of squeezing himself back again.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“You think so?” said Mr. Stryver. “Well! you have been present all day,","A Tale of Two Cities",10
"and you ought to know. You are a man of business, too.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“And as such,” quoth Mr. Lorry, whom the counsel learned in the law had","A Tale of Two Cities",10
"now shouldered back into the group, just as he had previously shouldered","A Tale of Two Cities",10
"him out of it--“as such I will appeal to Doctor Manette, to break up","A Tale of Two Cities",10
"this conference and order us all to our homes. Miss Lucie looks ill, Mr.","A Tale of Two Cities",10
"Darnay has had a terrible day, we are worn out.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Speak for yourself, Mr. Lorry,” said Stryver; “I have a night’s work to","A Tale of Two Cities",10
"do yet. Speak for yourself.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I speak for myself,” answered Mr. Lorry, “and for Mr. Darnay, and for","A Tale of Two Cities",10
"Miss Lucie, and--Miss Lucie, do you not think I may speak for us all?”","A Tale of Two Cities",10
" He asked her the question pointedly, and with a glance at her father.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"His face had become frozen, as it were, in a very curious look at","A Tale of Two Cities",10
"Darnay: an intent look, deepening into a frown of dislike and distrust,","A Tale of Two Cities",10
"not even unmixed with fear. With this strange expression on him his","A Tale of Two Cities",10
"thoughts had wandered away.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“My father,” said Lucie, softly laying her hand on his.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"He slowly shook the shadow off, and turned to her.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Shall we go home, my father?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"With a long breath, he answered “Yes.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"The friends of the acquitted prisoner had dispersed, under the","A Tale of Two Cities",10
"impression--which he himself had originated--that he would not be","A Tale of Two Cities",10
"released that night. The lights were nearly all extinguished in the","A Tale of Two Cities",10
"passages, the iron gates were being closed with a jar and a rattle,","A Tale of Two Cities",10
"and the dismal place was deserted until to-morrow morning’s interest of","A Tale of Two Cities",10
"gallows, pillory, whipping-post, and branding-iron, should repeople it.","A Tale of Two Cities",10
"Walking between her father and Mr. Darnay, Lucie Manette passed into","A Tale of Two Cities",10
"the open air. A hackney-coach was called, and the father and daughter","A Tale of Two Cities",10
"departed in it.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Mr. Stryver had left them in the passages, to shoulder his way back","A Tale of Two Cities",10
"to the robing-room. Another person, who had not joined the group, or","A Tale of Two Cities",10
"interchanged a word with any one of them, but who had been leaning","A Tale of Two Cities",10
"against the wall where its shadow was darkest, had silently strolled","A Tale of Two Cities",10
"out after the rest, and had looked on until the coach drove away. He now","A Tale of Two Cities",10
"stepped up to where Mr. Lorry and Mr. Darnay stood upon the pavement.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“So, Mr. Lorry! Men of business may speak to Mr. Darnay now?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Nobody had made any acknowledgment of Mr. Carton’s part in the day’s","A Tale of Two Cities",10
"proceedings; nobody had known of it. He was unrobed, and was none the","A Tale of Two Cities",10
"better for it in appearance.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“If you knew what a conflict goes on in the business mind, when the","A Tale of Two Cities",10
"business mind is divided between good-natured impulse and business","A Tale of Two Cities",10
"appearances, you would be amused, Mr. Darnay.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Mr. Lorry reddened, and said, warmly, “You have mentioned that before,","A Tale of Two Cities",10
"sir. We men of business, who serve a House, are not our own masters. We","A Tale of Two Cities",10
"have to think of the House more than ourselves.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“_I_ know, _I_ know,” rejoined Mr. Carton, carelessly. “Don’t be","A Tale of Two Cities",10
"nettled, Mr. Lorry. You are as good as another, I have no doubt: better,","A Tale of Two Cities",10
"I dare say.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“And indeed, sir,” pursued Mr. Lorry, not minding him, “I really don’t","A Tale of Two Cities",10
"know what you have to do with the matter. If you’ll excuse me, as very","A Tale of Two Cities",10
"much your elder, for saying so, I really don’t know that it is your","A Tale of Two Cities",10
"business.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Business! Bless you, _I_ have no business,” said Mr. Carton.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“It is a pity you have not, sir.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I think so, too.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“If you had,” pursued Mr. Lorry, “perhaps you would attend to it.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Lord love you, no!--I shouldn’t,” said Mr. Carton.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Well, sir!” cried Mr. Lorry, thoroughly heated by his indifference,","A Tale of Two Cities",10
"“business is a very good thing, and a very respectable thing. And, sir,","A Tale of Two Cities",10
"if business imposes its restraints and its silences and impediments, Mr.","A Tale of Two Cities",10
"Darnay as a young gentleman of generosity knows how to make allowance","A Tale of Two Cities",10
"for that circumstance. Mr. Darnay, good night, God bless you, sir!","A Tale of Two Cities",10
"I hope you have been this day preserved for a prosperous and happy","A Tale of Two Cities",10
"life.--Chair there!”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Perhaps a little angry with himself, as well as with the barrister, Mr.","A Tale of Two Cities",10
"Lorry bustled into the chair, and was carried off to Tellson’s. Carton,","A Tale of Two Cities",10
"who smelt of port wine, and did not appear to be quite sober, laughed","A Tale of Two Cities",10
"then, and turned to Darnay:","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“This is a strange chance that throws you and me together. This must","A Tale of Two Cities",10
"be a strange night to you, standing alone here with your counterpart on","A Tale of Two Cities",10
"these street stones?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I hardly seem yet,” returned Charles Darnay, “to belong to this world","A Tale of Two Cities",10
"again.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I don’t wonder at it; it’s not so long since you were pretty far","A Tale of Two Cities",10
"advanced on your way to another. You speak faintly.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I begin to think I _am_ faint.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Then why the devil don’t you dine? I dined, myself, while those","A Tale of Two Cities",10
"numskulls were deliberating which world you should belong to--this, or","A Tale of Two Cities",10
"some other. Let me show you the nearest tavern to dine well at.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Drawing his arm through his own, he took him down Ludgate-hill to","A Tale of Two Cities",10
"Fleet-street, and so, up a covered way, into a tavern. Here, they were","A Tale of Two Cities",10
"shown into a little room, where Charles Darnay was soon recruiting","A Tale of Two Cities",10
"his strength with a good plain dinner and good wine: while Carton sat","A Tale of Two Cities",10
"opposite to him at the same table, with his separate bottle of port","A Tale of Two Cities",10
"before him, and his fully half-insolent manner upon him.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Do you feel, yet, that you belong to this terrestrial scheme again, Mr.","A Tale of Two Cities",10
"Darnay?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I am frightfully confused regarding time and place; but I am so far","A Tale of Two Cities",10
"mended as to feel that.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“It must be an immense satisfaction!”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"He said it bitterly, and filled up his glass again: which was a large","A Tale of Two Cities",10
"one.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“As to me, the greatest desire I have, is to forget that I belong to it.","A Tale of Two Cities",10
"It has no good in it for me--except wine like this--nor I for it. So we","A Tale of Two Cities",10
"are not much alike in that particular. Indeed, I begin to think we are","A Tale of Two Cities",10
"not much alike in any particular, you and I.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Confused by the emotion of the day, and feeling his being there with","A Tale of Two Cities",10
"this Double of coarse deportment, to be like a dream, Charles Darnay was","A Tale of Two Cities",10
"at a loss how to answer; finally, answered not at all.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Now your dinner is done,” Carton presently said, “why don’t you call a","A Tale of Two Cities",10
"health, Mr. Darnay; why don’t you give your toast?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“What health? What toast?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Why, it’s on the tip of your tongue. It ought to be, it must be, I’ll","A Tale of Two Cities",10
"swear it’s there.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Miss Manette, then!”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Miss Manette, then!”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Looking his companion full in the face while he drank the toast, Carton","A Tale of Two Cities",10
"flung his glass over his shoulder against the wall, where it shivered to","A Tale of Two Cities",10
"pieces; then, rang the bell, and ordered in another.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“That’s a fair young lady to hand to a coach in the dark, Mr. Darnay!”","A Tale of Two Cities",10
" he said, filling his new goblet.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"A slight frown and a laconic “Yes,” were the answer.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“That’s a fair young lady to be pitied by and wept for by! How does it","A Tale of Two Cities",10
"feel? Is it worth being tried for one’s life, to be the object of such","A Tale of Two Cities",10
"sympathy and compassion, Mr. Darnay?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Again Darnay answered not a word.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“She was mightily pleased to have your message, when I gave it her. Not","A Tale of Two Cities",10
"that she showed she was pleased, but I suppose she was.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"The allusion served as a timely reminder to Darnay that this","A Tale of Two Cities",10
"disagreeable companion had, of his own free will, assisted him in the","A Tale of Two Cities",10
"strait of the day. He turned the dialogue to that point, and thanked him","A Tale of Two Cities",10
"for it.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I neither want any thanks, nor merit any,” was the careless rejoinder.","A Tale of Two Cities",10
"“It was nothing to do, in the first place; and I don’t know why I did","A Tale of Two Cities",10
"it, in the second. Mr. Darnay, let me ask you a question.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Willingly, and a small return for your good offices.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Do you think I particularly like you?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Really, Mr. Carton,” returned the other, oddly disconcerted, “I have","A Tale of Two Cities",10
"not asked myself the question.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“But ask yourself the question now.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“You have acted as if you do; but I don’t think you do.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“_I_ don’t think I do,” said Carton. “I begin to have a very good","A Tale of Two Cities",10
"opinion of your understanding.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Nevertheless,” pursued Darnay, rising to ring the bell, “there is","A Tale of Two Cities",10
"nothing in that, I hope, to prevent my calling the reckoning, and our","A Tale of Two Cities",10
"parting without ill-blood on either side.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Carton rejoining, “Nothing in life!” Darnay rang. “Do you call the whole","A Tale of Two Cities",10
"reckoning?” said Carton. On his answering in the affirmative, “Then","A Tale of Two Cities",10
"bring me another pint of this same wine, drawer, and come and wake me at","A Tale of Two Cities",10
"ten.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"The bill being paid, Charles Darnay rose and wished him good night.","A Tale of Two Cities",10
"Without returning the wish, Carton rose too, with something of a threat","A Tale of Two Cities",10
"of defiance in his manner, and said, “A last word, Mr. Darnay: you think","A Tale of Two Cities",10
"I am drunk?”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“I think you have been drinking, Mr. Carton.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Think? You know I have been drinking.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Since I must say so, I know it.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Then you shall likewise know why. I am a disappointed drudge, sir. I","A Tale of Two Cities",10
"care for no man on earth, and no man on earth cares for me.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Much to be regretted. You might have used your talents better.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“May be so, Mr. Darnay; may be not. Don’t let your sober face elate you,","A Tale of Two Cities",10
"however; you don’t know what it may come to. Good night!”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"When he was left alone, this strange being took up a candle, went to a","A Tale of Two Cities",10
"glass that hung against the wall, and surveyed himself minutely in it.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"“Do you particularly like the man?” he muttered, at his own image; “why","A Tale of Two Cities",10
"should you particularly like a man who resembles you? There is nothing","A Tale of Two Cities",10
"in you to like; you know that. Ah, confound you! What a change you have","A Tale of Two Cities",10
"made in yourself! A good reason for taking to a man, that he shows you","A Tale of Two Cities",10
"what you have fallen away from, and what you might have been! Change","A Tale of Two Cities",10
"places with him, and would you have been looked at by those blue eyes as","A Tale of Two Cities",10
"he was, and commiserated by that agitated face as he was? Come on, and","A Tale of Two Cities",10
"have it out in plain words! You hate the fellow.”","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"He resorted to his pint of wine for consolation, drank it all in a few","A Tale of Two Cities",10
"minutes, and fell asleep on his arms, with his hair straggling over the","A Tale of Two Cities",10
"table, and a long winding-sheet in the candle dripping down upon him.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"CHAPTER VII.","A Tale of Two Cities",13
"Monseigneur in Town","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"Monseigneur, one of the great lords in power at the Court, held his","A Tale of Two Cities",13
"fortnightly reception in his grand hotel in Paris. Monseigneur was in","A Tale of Two Cities",13
"his inner room, his sanctuary of sanctuaries, the Holiest of Holiests to","A Tale of Two Cities",13
"the crowd of worshippers in the suite of rooms without. Monseigneur","A Tale of Two Cities",13
"was about to take his chocolate. Monseigneur could swallow a great many","A Tale of Two Cities",13
"things with ease, and was by some few sullen minds supposed to be rather","A Tale of Two Cities",13
"rapidly swallowing France; but, his morning’s chocolate could not so","A Tale of Two Cities",13
"much as get into the throat of Monseigneur, without the aid of four","A Tale of Two Cities",13
"strong men besides the Cook.","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"Yes. It took four men, all four ablaze with gorgeous decoration, and the","A Tale of Two Cities",13
"Chief of them unable to exist with fewer than two gold watches in his","A Tale of Two Cities",13
"pocket, emulative of the noble and chaste fashion set by Monseigneur, to","A Tale of Two Cities",13
"conduct the happy chocolate to Monseigneur’s lips. One lacquey carried","A Tale of Two Cities",13
"the chocolate-pot into the sacred presence; a second, milled and frothed","A Tale of Two Cities",13
"the chocolate with the little instrument he bore for that function;","A Tale of Two Cities",13
"a third, presented the favoured napkin; a fourth (he of the two gold","A Tale of Two Cities",13
"watches), poured the chocolate out. It was impossible for Monseigneur to","A Tale of Two Cities",13
"dispense with one of these attendants on the chocolate and hold his high","A Tale of Two Cities",13
"place under the admiring Heavens. Deep would have been the blot upon","A Tale of Two Cities",13
"his escutcheon if his chocolate had been ignobly waited on by only three","A Tale of Two Cities",13
"men; he must have died of two.","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"Monseigneur had been out at a little supper last night, where the Comedy","A Tale of Two Cities",13
"and the Grand Opera were charmingly represented. Monseigneur was out at","A Tale of Two Cities",13
"a little supper most nights, with fascinating company. So polite and so","A Tale of Two Cities",13
"impressible was Monseigneur, that the Comedy and the Grand Opera had far","A Tale of Two Cities",13
"more influence with him in the tiresome articles of state affairs and","A Tale of Two Cities",13
"state secrets, than the needs of all France. A happy circumstance","A Tale of Two Cities",13
"for France, as the like always is for all countries similarly","A Tale of Two Cities",13
"favoured!--always was for England (by way of example), in the regretted","A Tale of Two Cities",13
"days of the merry Stuart who sold it.","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"Monseigneur had one truly noble idea of general public business, which","A Tale of Two Cities",13
"was, to let everything go on in its own way; of particular public","A Tale of Two Cities",13
"business, Monseigneur had the other truly noble idea that it must all go","A Tale of Two Cities",13
"his way--tend to his own power and pocket. Of his pleasures, general and","A Tale of Two Cities",13
"particular, Monseigneur had the other truly noble idea, that the world","A Tale of Two Cities",13
"was made for them. The text of his order (altered from the original","A Tale of Two Cities",13
"by only a pronoun, which is not much) ran: “The earth and the fulness","A Tale of Two Cities",13
"thereof are mine, saith Monseigneur.”","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"Yet, Monseigneur had slowly found that vulgar embarrassments crept into","A Tale of Two Cities",13
"his affairs, both private and public; and he had, as to both classes of","A Tale of Two Cities",13
"affairs, allied himself perforce with a Farmer-General. As to finances","A Tale of Two Cities",13
"public, because Monseigneur could not make anything at all of them, and","A Tale of Two Cities",13
"must consequently let them out to somebody who could; as to finances","A Tale of Two Cities",13
"private, because Farmer-Generals were rich, and Monseigneur, after","A Tale of Two Cities",13
"generations of great luxury and expense, was growing poor. Hence","A Tale of Two Cities",13
"Monseigneur had taken his sister from a convent, while there was yet","A Tale of Two Cities",13
"time to ward off the impending veil, the cheapest garment she could","A Tale of Two Cities",13
"wear, and had bestowed her as a prize upon a very rich Farmer-General,","A Tale of Two Cities",13
"poor in family. Which Farmer-General, carrying an appropriate cane with","A Tale of Two Cities",13
"a golden apple on the top of it, was now among the company in the outer","A Tale of Two Cities",13
"rooms, much prostrated before by mankind--always excepting superior","A Tale of Two Cities",13
"mankind of the blood of Monseigneur, who, his own wife included, looked","A Tale of Two Cities",13
"down upon him with the loftiest contempt.","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"A sumptuous man was the Farmer-General. Thirty horses stood in his","A Tale of Two Cities",13
"stables, twenty-four male domestics sat in his halls, six body-women","A Tale of Two Cities",13
"waited on his wife. As one who pretended to do nothing but plunder and","A Tale of Two Cities",13
"forage where he could, the Farmer-General--howsoever his matrimonial","A Tale of Two Cities",13
"relations conduced to social morality--was at least the greatest reality","A Tale of Two Cities",13
"among the personages who attended at the hotel of Monseigneur that day.","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"For, the rooms, though a beautiful scene to look at, and adorned with","A Tale of Two Cities",13
"every device of decoration that the taste and skill of the time could","A Tale of Two Cities",13
"achieve, were, in truth, not a sound business; considered with any","A Tale of Two Cities",13
"reference to the scarecrows in the rags and nightcaps elsewhere (and not","A Tale of Two Cities",13
"so far off, either, but that the watching towers of Notre Dame, almost","A Tale of Two Cities",13
"equidistant from the two extremes, could see them both), they would","A Tale of Two Cities",13
"have been an exceedingly uncomfortable business--if that could have","A Tale of Two Cities",13
"been anybody’s business, at the house of Monseigneur. Military officers","A Tale of Two Cities",13
"destitute of military knowledge; naval officers with no idea of a ship;","A Tale of Two Cities",13
"civil officers without a notion of affairs; brazen ecclesiastics, of the","A Tale of Two Cities",13
"worst world worldly, with sensual eyes, loose tongues, and looser lives;","A Tale of Two Cities",13
"all totally unfit for their several callings, all lying horribly in","A Tale of Two Cities",13
"pretending to belong to them, but all nearly or remotely of the order of","A Tale of Two Cities",13
"Monseigneur, and therefore foisted on all public employments from which","A Tale of Two Cities",13
"anything was to be got; these were to be told off by the score and the","A Tale of Two Cities",13
"score. People not immediately connected with Monseigneur or the State,","A Tale of Two Cities",13
"yet equally unconnected with anything that was real, or with lives","A Tale of Two Cities",13
"passed in travelling by any straight road to any true earthly end, were","A Tale of Two Cities",13
"no less abundant. Doctors who made great fortunes out of dainty remedies","A Tale of Two Cities",13
"for imaginary disorders that never existed, smiled upon their courtly","A Tale of Two Cities",13
"patients in the ante-chambers of Monseigneur. Projectors who had","A Tale of Two Cities",13
"discovered every kind of remedy for the little evils with which the","A Tale of Two Cities",13
"State was touched, except the remedy of setting to work in earnest to","A Tale of Two Cities",13
"root out a single sin, poured their distracting babble into any ears","A Tale of Two Cities",13
"they could lay hold of, at the reception of Monseigneur. Unbelieving","A Tale of Two Cities",13
"Philosophers who were remodelling the world with words, and making","A Tale of Two Cities",13
"card-towers of Babel to scale the skies with, talked with Unbelieving","A Tale of Two Cities",13
"Chemists who had an eye on the transmutation of metals, at this","A Tale of Two Cities",13
"wonderful gathering accumulated by Monseigneur. Exquisite gentlemen of","A Tale of Two Cities",13
"the finest breeding, which was at that remarkable time--and has been","A Tale of Two Cities",13
"since--to be known by its fruits of indifference to every natural","A Tale of Two Cities",13
"subject of human interest, were in the most exemplary state of","A Tale of Two Cities",13
"exhaustion, at the hotel of Monseigneur. Such homes had these various","A Tale of Two Cities",13
"notabilities left behind them in the fine world of Paris, that the spies","A Tale of Two Cities",13
"among the assembled devotees of Monseigneur--forming a goodly half","A Tale of Two Cities",13
"of the polite company--would have found it hard to discover among","A Tale of Two Cities",13
"the angels of that sphere one solitary wife, who, in her manners and","A Tale of Two Cities",13
"appearance, owned to being a Mother. Indeed, except for the mere act of","A Tale of Two Cities",13
"bringing a troublesome creature into this world--which does not go far","A Tale of Two Cities",13
"towards the realisation of the name of mother--there was no such thing","A Tale of Two Cities",13
"known to the fashion. Peasant women kept the unfashionable babies close,","A Tale of Two Cities",13
"and brought them up, and charming grandmammas of sixty dressed and","A Tale of Two Cities",13
"supped as at twenty.","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"The leprosy of unreality disfigured every human creature in attendance","A Tale of Two Cities",13
"upon Monseigneur. In the outermost room were half a dozen exceptional","A Tale of Two Cities",13
"people who had had, for a few years, some vague misgiving in them that","A Tale of Two Cities",13
"things in general were going rather wrong. As a promising way of setting","A Tale of Two Cities",13
"them right, half of the half-dozen had become members of a fantastic","A Tale of Two Cities",13
"sect of Convulsionists, and were even then considering within themselves","A Tale of Two Cities",13
"whether they should foam, rage, roar, and turn cataleptic on the","A Tale of Two Cities",13
"spot--thereby setting up a highly intelligible finger-post to the","A Tale of Two Cities",13
"Future, for Monseigneur’s guidance. Besides these Dervishes, were other","A Tale of Two Cities",13
"three who had rushed into another sect, which mended matters with a","A Tale of Two Cities",13
"jargon about “the Centre of Truth:” holding that Man had got out of the","A Tale of Two Cities",13
"Centre of Truth--which did not need much demonstration--but had not got","A Tale of Two Cities",13
"out of the Circumference, and that he was to be kept from flying out of","A Tale of Two Cities",13
"the Circumference, and was even to be shoved back into the Centre,","A Tale of Two Cities",13
"by fasting and seeing of spirits. Among these, accordingly, much","A Tale of Two Cities",13
"discoursing with spirits went on--and it did a world of good which never","A Tale of Two Cities",13
"became manifest.","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"But, the comfort was, that all the company at the grand hotel of","A Tale of Two Cities",13
"Monseigneur were perfectly dressed. If the Day of Judgment had only been","A Tale of Two Cities",13
"ascertained to be a dress day, everybody there would have been eternally","A Tale of Two Cities",13
"correct. Such frizzling and powdering and sticking up of hair, such","A Tale of Two Cities",13
"delicate complexions artificially preserved and mended, such gallant","A Tale of Two Cities",13
"swords to look at, and such delicate honour to the sense of smell, would","A Tale of Two Cities",13
"surely keep anything going, for ever and ever. The exquisite gentlemen","A Tale of Two Cities",13
"of the finest breeding wore little pendent trinkets that chinked as they","A Tale of Two Cities",13
"languidly moved; these golden fetters rang like precious little bells;","A Tale of Two Cities",13
"and what with that ringing, and with the rustle of silk and brocade and","A Tale of Two Cities",13
"fine linen, there was a flutter in the air that fanned Saint Antoine and","A Tale of Two Cities",13
"his devouring hunger far away.","A Tale of Two Cities",13
"","A Tale of Two Cities",13
"Dress was the one unfailing talisman and charm used for keeping all","A Tale of Two Cities",13
"things in their places. Everybody was dressed for a Fancy Ball that","A Tale of Two Cities",13
"was never to leave off. From the Palace of the Tuileries, through","A Tale of Two Cities",13
"Monseigneur and the whole Court, through the Chambers, the Tribunals","A Tale of Two Cities",13
"of Justice, and all society (except the scarecrows), the Fancy Ball","A Tale of Two Cities",13
"descended to the Common Executioner: who, in pursuance of the charm, was","A Tale of Two Cities",13
"required to officiate “frizzled, powdered, in a gold-laced coat, pumps,","A Tale of Two Cities",13
"and white silk stockings.” At the gallows and the wheel--the axe was a","A Tale of Two Cities",13
