"Date","Site1","Site2","Site3","Site4","Site5","Site6"
2015-03-07,65.5,22.8,67.7,61.9,73.7,20.5
2015-03-08,56.1,21.9,34.4,53.9,49.7,20.1
2015-03-09,55.9,22.3,52.6,62.4,62.1,20.3
2015-03-10,54.7,21.5,45.1,56.7,69.3,20.1
2015-03-11,68.4,22.7,58.7,54.5,72.5,20.2
2015-03-12,52.5,23.5,53.3,59.4,69,20.1
2015-03-13,56.8,23.7,57,62.9,69.6,20.2
2015-03-14,55.7,18.5,48.7,56.2,60.3,20
2015-03-15,51.7,26.2,51.7,63.6,80.9,20.2
2015-03-16,51.4,24.5,47.4,56.2,51.2,20.1
2015-03-17,49.4,21.1,58.6,57.9,64.3,20.1
2015-03-18,55.6,22,41.7,61.4,48,20.3
2015-03-19,NA,28,55.2,55.4,57.4,20
2015-03-20,NA,23.5,43.7,64.5,53.1,20
2015-03-21,NA,22.8,64.6,59.1,82.8,20.3
2015-03-22,NA,26.6,45,53.4,61.6,20.1
2015-03-23,NA,24.2,59,58.6,75.4,20.1
2015-03-24,NA,19.6,48.3,55.6,52.2,19.9
2015-03-25,58.7,25.2,57.4,54.4,62.6,20
2015-03-26,48.2,24.2,44.9,56,64.5,20.1
2015-03-27,54,26.6,50.5,64.3,50.8,20.1
2015-03-28,62.1,29.5,57.7,60.3,79.8,20.1
2015-03-29,52.8,21.3,47.9,48.1,59.3,19.8
2015-03-30,51.4,19.6,42,57.4,47.6,20
2015-03-31,52.3,20.4,54.2,56.8,49.6,20
2015-04-01,61.3,21.7,48.1,58.6,57.4,20
2015-04-02,48.2,24.2,45.3,56.1,74.8,20.1
2015-04-03,39.7,23.5,39.3,51.6,57,19.9
2015-04-04,55.1,22.1,40.5,57.4,54.3,20
2015-04-05,53.4,22.5,50.7,59.2,63.7,20.1
2015-04-06,58,23.3,44.9,57.4,59.5,20.1
2015-04-07,49.5,19.5,44.1,50.4,57.4,20.1
2015-04-08,65.2,24.5,55.1,59.9,45.4,20.2
2015-04-09,54.4,22.6,47.6,57.6,59.3,19.9
2015-04-10,39.9,20.9,53.6,53.7,48.2,20
2015-04-11,61.7,18,47.5,54.6,63.2,20.1
2015-04-12,50.8,20.4,38.5,50.5,49.5,19.9
2015-04-13,48.8,24.6,41.5,56.3,58.3,19.9
2015-04-14,51.1,27.8,52,61.3,71.4,20.2
2015-04-15,50.8,17.7,50.2,54,60.2,20.3
2015-04-16,66.6,23.6,56.9,68.3,61.5,20.2
2015-04-17,47.5,20.2,45.5,59.6,49.5,19.8
2015-04-18,53.7,24.4,51.5,57.3,63.1,20.1
2015-04-19,43.8,18.6,19.3,52.3,46,19.8
2015-04-20,54.7,17.1,36.9,45.2,41.6,19.8
2015-04-21,48.9,16.9,41,58.4,50.3,20.1
2015-04-22,47.9,19.6,47,54,57.5,19.9
2015-04-23,56.8,22.5,50.2,56.3,60.9,20
2015-04-24,54.6,26.8,49.5,56,58.6,20
2015-04-25,41.3,19.9,36.5,45.7,46.8,19.8
2015-04-26,48.4,25.2,49.4,53.3,63.2,20
2015-04-27,35.2,20.4,48.5,54.4,53.4,20
2015-04-28,50.7,21.1,29.1,54.9,59.1,20.1
2015-04-29,59.2,20.8,50.2,55.3,46.4,19.9
2015-04-30,55.9,27.4,39,56.7,55.8,19.9
2015-05-01,44.9,22,53.6,56.4,72.3,20
2015-05-02,38.6,18.4,37,49.8,50.9,19.9
2015-05-03,45,18.6,43.1,57.4,61.4,20.1
2015-05-04,47.7,25.3,35.4,53.8,57.6,19.9
2015-05-05,48.6,16.8,30.8,49.3,58.7,20.1
2015-05-06,45.8,20.9,39.2,55.3,47.5,19.8
2015-05-07,52.9,23.9,45.3,57,51,19.9
2015-05-08,52.2,17.3,31.1,56.9,54.1,20
2015-05-09,65.7,25.3,56.6,65.2,70.7,20
2015-05-10,54.1,19.1,49.8,56.2,49.5,20
2015-05-11,58.5,20,56,56.7,59.7,19.8
2015-05-12,50.7,15.1,37.9,51.6,36,19.9
2015-05-13,47.9,20.5,40.1,47.5,51,19.9
2015-05-14,63.8,23.7,61.5,62.5,70.3,20.1
2015-05-15,54.1,20.7,36,44.9,46.7,19.8
2015-05-16,48.3,28.9,49,61.2,66.6,20.1
2015-05-17,37.9,20.8,40.2,58.6,59.9,20.1
2015-05-18,49.5,23,36.8,55.8,50.6,19.9
2015-05-19,52.9,22.4,46.4,60.4,46.7,19.8
2015-05-20,45.6,18.3,46.8,57.4,63.2,19.9
2015-05-21,50.9,25.8,46.1,53.4,62,19.8
2015-05-22,48.8,22.4,43.4,55.2,44.5,19.8
2015-05-23,40.7,18.7,50.3,56.9,55.9,19.9
2015-05-24,40.9,16.5,39.6,46.3,56.4,19.9
2015-05-25,35.4,13.9,33.5,46.4,53,19.7
2015-05-26,51.8,21.1,42.6,52.1,69.7,19.9
2015-05-27,40.7,22.2,43.1,53.5,60.9,19.8
2015-05-28,42.8,23.8,48.2,52.1,60.3,19.7
2015-05-29,48.6,21,41.6,59.1,54.7,20.1
2015-05-30,43.9,20.2,36.4,53.6,49.7,19.7
2015-05-31,32.6,20.2,37.5,50.3,43.5,19.9
2015-06-01,43,22.5,44.4,54.5,52.2,19.8
2015-06-02,47.8,22.9,28.2,58.3,72.4,20
2015-06-03,52.6,20.9,44.3,59.1,64.4,19.9
2015-06-04,46.2,20.4,40.3,51.7,57.2,19.8
2015-06-05,41.9,21.1,38.3,53.9,54.4,19.8
2015-06-06,39.6,27.2,54.9,50.3,51.7,19.7
2015-06-07,49.3,24.3,50.9,52.2,71.9,19.9
2015-06-08,56.4,19.8,55.6,57,73,19.9
2015-06-09,35.9,20.6,36.2,49.6,52.7,19.7
2015-06-10,34.4,18.6,36.5,58.9,52.7,19.8
2015-06-11,56.4,25.8,62,63.2,62.6,19.9
2015-06-12,50.8,21.1,41.4,56.5,72,19.9
2015-06-13,57.1,22.2,48.3,54.2,62.8,20
2015-06-14,43.9,17.2,32.6,51.7,64.7,19.6
2015-06-15,41.8,21.7,41.7,54.5,60.2,19.8
2015-06-16,37.3,15,38.8,54.6,48,19.7
2015-06-17,39.4,17.6,43.8,54.2,52.6,19.7
2015-06-18,42.5,20,36.2,53.2,54.6,19.6
2015-06-19,46.4,18.5,29,46.7,53.4,19.6
2015-06-20,53.3,24,38,49.6,47.2,19.7
2015-06-21,42.4,21.6,35.2,54.6,58.5,19.8
2015-06-22,49.3,22.1,46.3,52.4,54.5,19.7
2015-06-23,55.5,21.5,35.2,59.8,53.9,19.9
2015-06-24,46.9,18.2,33.1,55.5,43.5,19.8
2015-06-25,28.7,21.9,41.1,49.8,49.6,19.9
2015-06-26,53.3,17.8,36.5,52.7,47.4,19.4
2015-06-27,39.4,14.2,37.2,49.2,57.2,19.6
2015-06-28,46,16,33.5,44.3,47.4,19.6
2015-06-29,57.5,25.1,49.5,55.2,65.1,19.6
2015-06-30,50,19.7,41.9,59.2,50.1,19.8
2015-07-01,40.6,15.7,44,54.4,49.3,19.5
2015-07-02,54.2,21.8,40,45.5,46.3,19.6
2015-07-03,42.9,21.8,36.3,56.9,65.6,19.8
2015-07-04,46,28.6,53.2,64.9,74.5,19.9
2015-07-05,44.8,21.7,52.8,58.2,51,19.8
2015-07-06,42.4,20.7,46.9,54.7,63,19.7
2015-07-07,36.6,17,30,56.6,46.6,19.6
2015-07-08,42.8,14.6,41.2,50.9,46,19.5
2015-07-09,49.2,20.3,41,54.5,63.7,19.5
2015-07-10,42.6,16.2,33.8,52.3,37.6,19.5
2015-07-11,46.4,20.1,35.2,51.2,46.9,19.6
2015-07-12,47.7,19.1,45.1,43.8,55.8,19.5
2015-07-13,43.6,23.4,50.6,49,43.3,19.4
2015-07-14,46.2,15,40.1,54,60.3,19.5
2015-07-15,54.8,23,33.9,51.6,41.1,19.8
2015-07-16,40.7,19.8,34.7,52.7,62.2,19.6
2015-07-17,48.3,23.2,34.8,48.4,50.8,19.6
2015-07-18,56,20.5,40.6,53.2,58.5,19.7
2015-07-19,43.8,19.1,43.6,55.3,59.5,19.7
2015-07-20,43.9,22.1,45.5,58.8,55.8,19.6
2015-07-21,61.4,22,51.2,59.5,69,19.7
2015-07-22,37.9,15.3,32.4,45.8,55.3,19.4
2015-07-23,57.7,21.6,40.5,54.8,65.6,19.8
2015-07-24,41.1,16.6,22.5,50.8,61.1,19.5
2015-07-25,42.1,12.7,45.4,51.6,54.5,19.6
2015-07-26,42.7,23.4,42.6,47.3,57.8,19.7
2015-07-27,50,21.1,42.9,62.3,49.1,19.8
2015-07-28,40.3,19.5,31.4,50.2,65.2,19.7
2015-07-29,51,25.2,37.1,56.4,47.2,19.7
2015-07-30,34,22.1,43,59.9,54,19.7
2015-07-31,51,18.3,41.8,50.6,53.4,19.5
2015-08-01,57,24.8,50.6,59.3,57.5,19.8
2015-08-02,56.7,21.3,43.1,53.8,46.2,19.6
2015-08-03,45.5,24.6,47,51.6,71.6,19.6
2015-08-04,51.5,19.8,42.5,50.5,62.3,19.6
2015-08-05,39.6,23,45.2,55.9,60.4,19.5
2015-08-06,53.1,25.9,46.5,55.3,51.7,19.7
2015-08-07,40,17.2,43.9,46.4,48.6,19.6
2015-08-08,42.6,16.7,48.6,49.1,56.5,19.4
2015-08-09,58.6,23.5,48.8,54.7,74.5,19.6
2015-08-10,47,15.4,38.4,43.3,46,19.6
2015-08-11,46.4,13.4,44,55.4,46.9,19.5
2015-08-12,47.1,15.3,49.4,53.7,43.5,19.3
2015-08-13,41.7,15,43.9,45.9,47.9,19.6
2015-08-14,44.7,24.9,34.3,52,53,19.5
2015-08-15,43.4,25,45.9,58.7,58.4,19.7
2015-08-16,55,18.8,40.8,49,55.6,19.4
2015-08-17,54.2,21.2,52.5,51.7,58.1,19.6
2015-08-18,45.5,20.7,41.2,45.5,58.6,19.4
2015-08-19,42.2,16,34.3,48.6,51.9,19.3
2015-08-20,59.4,22.4,49.4,57.1,60.9,19.7
2015-08-21,40.5,20.2,58,54.2,60.1,19.7
2015-08-22,50.9,26.4,51.2,60.6,70.9,19.8
2015-08-23,45.5,14.5,37.8,51.4,51,19.4
2015-08-24,46.9,17.8,34.9,47.5,48.7,19.6
2015-08-25,40.9,20.5,35,54.9,50.7,19.4
2015-08-26,48.8,22.2,49.5,57.3,55.9,19.7
2015-08-27,44.6,19.7,39.9,43.8,46.9,19.5
2015-08-28,44.1,18.5,44.8,62.1,66,19.5
2015-08-29,60.4,18,44.9,55.6,55.3,19.7
2015-08-30,50.6,20.6,44.9,62.4,54.1,19.7
2015-08-31,53.1,20.6,45,49.3,54.2,19.6
2015-09-01,51.1,22.1,44.9,50,61.3,19.5
2015-09-02,46.9,18.5,46.9,55.7,61,19.6
2015-09-03,55.8,20.5,37.2,52,43.4,19.5
2015-09-04,53,17.1,39.7,61.8,51.8,19.6
2015-09-05,45.1,21,49.6,53.3,69.8,19.5
2015-09-06,42.8,21.1,39.1,50.9,51.4,19.4
2015-09-07,47.7,18.7,43.2,57.2,56,19.5
2015-09-08,48.1,23.8,37.2,58.5,43.3,19.6
2015-09-09,52.1,28,52.1,53.9,61.8,19.5
2015-09-10,59.1,24.7,56.3,59.8,72.3,19.6
2015-09-11,40.6,21.5,42.8,52.5,56,19.5
2015-09-12,45.6,20.2,28.9,57.1,57.1,19.6
2015-09-13,59.3,22.4,46.1,67.6,63,19.8
2015-09-14,51.7,24,50.7,65.9,60.8,19.7
2015-09-15,61.3,21.2,40.2,52.1,51.4,19.6
2015-09-16,42.5,19.6,52.8,49.2,39.2,19.4
2015-09-17,44.5,22.3,55.9,62.7,52.9,19.6
2015-09-18,44.6,24,50.6,62.9,63.7,19.6
2015-09-19,57,20.8,51.5,58.3,56.9,19.6
2015-09-20,48.6,17.8,43.3,55.8,61.3,19.8
2015-09-21,60,22.8,51.3,56.3,67.3,19.6
2015-09-22,41.2,22,40,48.8,62.2,19.4
2015-09-23,56.2,20.4,41.3,49.6,56.2,19.5
2015-09-24,43.6,15.4,32.1,60.2,51.5,19.4
2015-09-25,57.9,25.5,45,64.6,60.7,19.8
2015-09-26,53.7,24,47.3,54.6,56,19.7
2015-09-27,47.8,22.1,36.7,50.3,56.2,19.7
2015-09-28,54.6,22.3,46.5,51.9,51,19.8
2015-09-29,50.8,18.9,53.6,52.7,64.9,19.6
2015-09-30,53.4,18.3,34.1,NA,50.7,19.5
2015-10-01,64.8,19.7,39.9,NA,69,19.7
2015-10-02,52.5,26,48,NA,56.5,19.5
2015-10-03,59.9,21.6,49.2,NA,55.3,19.6
2015-10-04,44.9,23,38.1,NA,64.6,19.7
2015-10-05,52.9,19.8,47,NA,55.6,19.5
2015-10-06,48.9,22.9,51.4,NA,47.2,19.6
2015-10-07,49.1,26.2,49.1,NA,52.7,19.7
2015-10-08,50,19.4,49.3,NA,71.7,19.9
2015-10-09,52.5,26.3,58.1,65.4,53.6,19.7
2015-10-10,50.8,20.6,60.3,46.8,81,19.6
2015-10-11,56.6,22.1,55.8,62.4,69.4,19.7
2015-10-12,51.6,29,49,55.9,71.5,19.7
2015-10-13,57.9,22.8,49,56,67.6,19.6
2015-10-14,54.9,27.8,46,64.6,69.7,19.6
2015-10-15,52.8,22.4,38.2,60.6,59.8,19.6
2015-10-16,43.3,17.6,44.6,54.8,47.5,19.4
2015-10-17,49.7,27.4,43.9,63.2,57.8,19.7
2015-10-18,59.9,22,41.6,52.9,56.9,19.8
2015-10-19,55.8,21.6,49.5,59.3,56.1,19.5
2015-10-20,57.3,26.6,51.4,59.1,79.5,19.7
2015-10-21,50.2,23.2,53.1,52.2,49.8,19.6
2015-10-22,42.1,24.3,47,50,55.7,19.6
2015-10-23,55.7,28,58.5,63.9,70,19.8
2015-10-24,55.9,26.8,47.7,54.5,81.3,19.7
2015-10-25,66.3,28.3,45.6,60.8,66.5,19.8
2015-10-26,57,25.1,55.3,65.3,52,19.7
2015-10-27,52.7,22,38.1,58,64.7,19.8
2015-10-28,42.9,22.3,53.9,55.8,67.5,19.5
2015-10-29,58.2,29.7,67.9,67.3,70.5,19.7
2015-10-30,43.2,19.9,50.5,58.9,58.7,19.6
2015-10-31,63.1,22.7,61,56,59.5,19.8
2015-11-01,62.7,23.8,53,62.4,66.8,20
2015-11-02,46.9,26,59.2,62,66.6,19.7
2015-11-03,72.4,22.7,58.6,62.7,67.5,19.7
2015-11-04,52.2,19.2,47.9,60.5,56.3,19.5
2015-11-05,49.1,19.6,53.4,68,64.6,19.6
2015-11-06,50.6,26.7,39.7,53.6,63.7,19.7
2015-11-07,63.5,28.2,56.9,61.4,63.6,19.6
2015-11-08,55.3,24.2,57.1,60.4,76,19.7
2015-11-09,44.1,22.4,53.3,50.9,48.5,19.6
2015-11-10,56.4,16.3,47.7,60,55.1,19.6
2015-11-11,55,30.8,55.5,65.7,69.9,19.8
2015-11-12,48.3,25.6,52.1,56.7,51.8,19.6
2015-11-13,58.3,23.7,52.8,61.2,79.7,19.9
2015-11-14,55.8,23.1,49.3,61.4,62.7,19.6
2015-11-15,61.6,26.9,50.7,66.9,60.1,19.8
2015-11-16,73.5,23.1,63.3,55.5,68.4,19.9
2015-11-17,56.2,25.1,43.6,NA,68.9,19.6
2015-11-18,62.9,21.6,62.1,NA,81.3,20
2015-11-19,54.8,23.8,39.8,NA,60.8,19.4
2015-11-20,51.1,22.2,39.8,NA,54,19.4
2015-11-21,55.3,25.5,56.1,NA,66.8,19.6
2015-11-22,57.7,21.1,46.8,NA,62.7,19.5
2015-11-23,62.9,29.3,47.6,NA,73.1,19.7
2015-11-24,43.7,24.9,57.2,NA,58.5,19.4
2015-11-25,51.3,21.1,49.1,NA,63.4,19.7
2015-11-26,59.5,30.3,57.8,NA,66.8,19.6
2015-11-27,56.8,28.8,50.7,NA,67.1,19.6
2015-11-28,75,22.7,46.3,NA,69.5,19.7
2015-11-29,69.1,26.6,60.4,NA,68.4,19.7
2015-11-30,55.7,26.9,50.6,NA,64.3,19.8
2015-12-01,67.7,24.3,58.4,NA,64.5,19.5
2015-12-02,62.5,26.1,51,NA,80,19.7
2015-12-03,52.5,24.5,63.7,NA,72.9,19.6
2015-12-04,62.7,26,51.6,66.8,59.8,19.7
2015-12-05,59.1,26.2,64.9,63.5,78.2,19.8
2015-12-06,64.1,24.3,58.2,61.8,61.7,19.7
2015-12-07,57,29.1,42,65.9,77.9,19.8
2015-12-08,52.9,27.5,49.5,58.1,68.7,19.7
2015-12-09,59.8,31.2,59.2,68.2,65.1,19.7
2015-12-10,50.6,19,52.2,53.9,67.7,19.5
2015-12-11,64.1,20,48.1,53.5,61.4,19.4
2015-12-12,58.5,26.7,53.8,62.6,66.5,19.6
2015-12-13,65.8,26.1,52.5,58.4,76.1,19.8
2015-12-14,53.6,25.4,61.7,60.1,73.6,19.6
2015-12-15,52.8,23.7,51.7,62.4,60.5,19.3
2015-12-16,62.6,28.2,57.1,63.5,74.2,19.6
2015-12-17,62.2,22.4,47.9,60.2,76.1,19.7
2015-12-18,60.9,30.7,57.2,72.7,78.1,19.8
2015-12-19,64.2,27.2,56,65.1,71.3,19.9
2015-12-20,56.6,26.3,39.1,71.3,70.9,19.8
2015-12-21,59.1,23.4,60,62.2,72.7,19.7
2015-12-22,53.8,22.9,43.4,58.4,56.7,19.7
2015-12-23,56,27.4,57.9,60.2,66.2,19.7
2015-12-24,49.1,19.7,49.3,63.3,73,19.8
2015-12-25,62.7,21.5,59.1,58.4,69.8,19.8
2015-12-26,61,24.8,59.7,64.4,78,19.7
2015-12-27,60.4,25.7,60.3,57.3,70.9,19.8
2015-12-28,64.2,23,46.6,58.1,54.7,19.9
2015-12-29,71.9,19.5,53.6,52.9,72.4,19.8
2015-12-30,59.2,24.9,60.6,55.8,65.6,19.6
2015-12-31,61,27.8,52.4,67.8,80.1,19.7
2016-01-01,69.1,28.2,50.2,58.1,76.1,19.8
2016-01-02,66.8,21.5,50.3,60.9,74.3,19.6
2016-01-03,61.4,27.1,51.5,67.1,66.1,19.7
2016-01-04,63.3,25.8,56.8,56.8,74.4,19.7
2016-01-05,48.2,26.5,53.5,59.3,51,19.5
2016-01-06,50.4,26.7,51,59.4,73.9,19.7
2016-01-07,62.2,25.1,50.5,63.2,70.2,19.8
2016-01-08,65.9,26.7,63,64.1,74.3,19.7
2016-01-09,60.9,23.1,48.6,58.1,54.5,19.5
2016-01-10,57,27.2,58.5,64.8,71.9,19.6
2016-01-11,67.4,23.4,41.1,53.9,59.6,19.8
2016-01-12,64.7,22.4,49.1,59,74.4,19.7
2016-01-13,63.6,28.1,53.1,52.5,83.7,19.6
2016-01-14,60,26.3,62.1,62.2,66.7,19.8
2016-01-15,58.1,28.6,59.9,66.3,62,19.8
2016-01-16,59.3,25,57.9,60.7,77.9,19.7
2016-01-17,49.9,19.9,60.5,56.4,79.1,19.6
2016-01-18,53.9,25.8,55.1,61.6,72.3,19.8
2016-01-19,69.1,27.9,61.8,69.5,75.2,19.9
2016-01-20,62.9,28.7,67,61.2,58.4,19.5
2016-01-21,62,22.1,60.2,62.4,79.8,19.8
2016-01-22,57.3,22.6,51.9,59.7,61,19.7
2016-01-23,66.3,28.3,52.3,53.9,68.9,19.8
2016-01-24,47.6,23,56.3,60,58.8,19.7
2016-01-25,50.1,16.6,53.9,68,54.7,19.7
2016-01-26,59.2,27.8,45.8,56.6,59,19.7
2016-01-27,73.5,28.5,56.8,59.1,74.3,19.8
2016-01-28,48.4,29,53.6,66.9,66,19.7
2016-01-29,46.3,24.7,61.2,58.9,60.5,19.8
2016-01-30,65.8,28.2,64.2,59.2,51.8,19.8
2016-01-31,52.1,30.2,54.3,60.8,72.9,19.8
2016-02-01,63.3,25.7,70.7,74.3,78.4,19.8
2016-02-02,66.2,29,63.7,66.9,84.3,19.7
2016-02-03,55,23.4,49.5,62.6,51.4,19.5
2016-02-04,57.8,27.1,57.7,62.8,77.9,19.7
2016-02-05,53.9,25,58.4,57.3,78.9,19.6
2016-02-06,54.9,21.7,59.5,56.2,69.7,19.5
2016-02-07,55.6,27.6,42.9,62.7,54.7,19.5
2016-02-08,46.4,26,56.8,64.3,67.4,19.7
2016-02-09,41.1,25.8,49.9,50,64.5,19.6
2016-02-10,63.5,26.2,58.1,62.7,64.9,19.6
2016-02-11,70.7,26.3,53.6,68.8,74.7,19.6
2016-02-12,60.2,25.5,52.3,62.4,65.1,19.8
2016-02-13,62.7,25.8,47.8,56.8,55.1,19.6
2016-02-14,51.1,24.4,51.4,63.8,66.5,19.3
2016-02-15,70.5,30,64.4,63.3,79,19.6
2016-02-16,48.4,22.6,42,50.2,63.3,19.4
2016-02-17,48.4,20.3,45.8,59.4,57.2,19.4
2016-02-18,59.8,26.8,47,57.5,67.1,19.6
2016-02-19,56.2,18.6,54,57.6,58.3,19.5
2016-02-20,45,21.5,47,55.2,65.6,19.6
2016-02-21,47.3,23.6,45.8,49.7,70.4,19.4
2016-02-22,54.4,23.5,48.1,62.9,60.2,19.5
2016-02-23,49.7,26.6,48.2,59.3,57.8,19.4
2016-02-24,73.3,28.6,64.3,66.3,75.4,19.6
2016-02-25,67.6,24.7,57.5,60,74.6,19.5
2016-02-26,53.3,22.1,38.8,58,70.3,19.3
2016-02-27,60.1,29.2,56.2,66.7,73.5,19.8
2016-02-28,60.2,25.4,60.8,64.2,77.4,19.5
2016-02-29,62.2,26.2,64.2,60.6,58.3,19.6
2016-03-01,46.5,20.2,45.7,54.5,72.8,19.4
2016-03-02,56.8,26.1,42.1,53.3,88.3,19.3
2016-03-03,53.7,19.5,40.7,61.2,64.1,19.4
2016-03-04,65.2,23.9,58.1,60.1,72.8,19.5
2016-03-05,54.7,20.7,52.4,60.3,82.7,19.6
2016-03-06,50.4,23.7,31.3,54.7,58,19.3
2016-03-07,40.8,16.9,36.3,50.8,45.8,19.4
2016-03-08,61.9,26.2,58.3,64.4,71,19.6
2016-03-09,60,23.4,44.8,47.2,72.7,19.6
2016-03-10,62.4,24.9,52.5,53.1,49.3,19.4
2016-03-11,64.4,24,57.8,60.3,67.9,19.7
2016-03-12,50.7,14.8,50,62.6,49.3,19.4
2016-03-13,50.1,27.1,55.8,63.4,75.5,19.4
2016-03-14,50.8,25.8,42.6,58.5,67.3,19.6
2016-03-15,41,19.3,41.7,54.3,65,19.4
2016-03-16,61.8,22.6,45.3,58.2,60.6,19.6
2016-03-17,55.6,20.9,41.5,58.7,69.6,19.5
2016-03-18,56.2,28.4,64.8,57.6,61.6,19.2
2016-03-19,64.6,19.4,46.6,62.9,65.8,19.5
2016-03-20,42.6,18.5,39,48.5,42.4,19.2
2016-03-21,59.7,24.7,42.4,46.2,59.5,19.3
2016-03-22,50.8,24,67.4,54.9,70.1,19.4
2016-03-23,52.4,22,49,56.8,70.4,19.4
2016-03-24,49.4,22.4,43.7,48.6,61.5,19.3
2016-03-25,59.3,21.3,52.5,50.1,59.4,19.3
2016-03-26,53.8,17.7,52,53.3,56.5,19.6
2016-03-27,50.5,20.1,42.4,49.7,58.3,19.4
2016-03-28,49.6,19.3,47.4,58.4,53.9,19.4
2016-03-29,44.1,22.2,51.8,52.7,61.6,19.6
2016-03-30,58.9,25.4,49.2,53.3,53.1,19.5
2016-03-31,56.6,23.4,53.5,49.4,44.9,19.6
2016-04-01,54.6,20.5,44,56.1,65.4,19.4
2016-04-02,49.5,25.4,51.2,58.2,60.4,19.4
2016-04-03,62.6,20.9,43.1,60.5,71.8,19.6
2016-04-04,47.2,23.1,42.6,47.6,43.3,19.1
2016-04-05,48.5,19.7,37.9,51.1,45,19.2
2016-04-06,47.6,20.8,37.9,55.1,51.5,19.2
2016-04-07,40.8,23.1,42.8,46.3,52.4,19.3
2016-04-08,46.4,24.3,56.3,55.9,51,19.1
2016-04-09,47.9,24.2,33.3,58.6,60,19.3
2016-04-10,42.9,19.4,39.5,46.8,60,19.1
2016-04-11,60.7,24.4,58,55.6,58.5,19.5
2016-04-12,46.6,21.1,37.6,55.4,51.2,19.2
